Lee Ping Hai,,,,,,,,
q1,3,,,,,3,,4
q2,,,,,3,,,7
q3,,,,5,4,,,1
q4,,1,,1,3,,5,
q5,1,2,5,1,1,,,
q6,1,3,1,,,,5,
q7,,,,2,5,3,,
Ernest Leigh,,,,,,,,
q1,1,6,,1,2,,,
q2,1,,4,,,5,,
q3,2,1,1,,1,5,,
q4,2,1,2,1,,2,,2
q5,3,4,,3,,,,
q6,2,,2,3,,,2,1
q7,,1,1,,,2,4,2
Tom Ah-Toe,,,,,,,,
q1,,,,3,3,1,2,1
q2,2,1,,1,,3,2,1
q3,3,,,,,4,,3
q4,4,2,2,,,1,1,
q5,,2,1,,5,,1,1
q6,,1,,,5,3,,1
q7,4,,1,1,1,,,3
Julie Eton,,,,,,,,
q1,1,4,,,,1,4,
q2,5,2,,,3,,,
q3,3,,,,,3,4,
q4,,3,3,,4,,,
q5,4,,,,5,1,,
q6,,3,,,2,5,,
q7,,,3,3,,,,4
Seymour Woodburn,,,,,,,,
q1,,,,,2,5,,3
q2,,,,3,3,,4,
q3,,,5,,5,,,
q4,,,,5,,1,4,
q5,,,,3,,3,,4
q6,5,,4,,,,,1
q7,1,,2,3,,4,,
Raina Schein,,,,,,,,
q1,3,,,5,,,,2
q2,,4,,,5,1,,
q3,3,5,,,1,,,1
q4,,4,,,,,4,2
q5,,5,,1,,,4,
q6,,,5,1,,,4,
q7,,1,,4,4,,,1
Myles na gCopaleen,,,,,,,,
q1,,1,,4,,,2,3
q2,2,3,,,5,,,
q3,,5,,,4,1,,
q4,,4,,3,,2,,1
q5,,,,3,2,,,5
q6,2,,4,,,,4,
q7,4,,,3,,,,3
Helen Highwater,,,,,,,,
q1,3,,3,,2,,2,
q2,2,2,2,2,,,,2
q3,2,,,2,,3,3,
q4,,,3,,2,3,,2
q5,3,2,,1,4,,,
q6,2,1,2,,,2,1,2
q7,2,3,2,,1,1,1,
Isabella Sounder,,,,,,,,
q1,2,,1,1,4,1,,1
q2,,2,1,2,2,3,,
q3,3,1,,1,1,1,1,2
q4,1,1,1,1,1,1,1,3
q5,2,1,2,2,,2,1,
q6,2,1,1,2,,1,1,2
q7,1,1,1,1,1,1,3,1
